;Week;Celltype;Triplicate
MSC_wk0_1;0;Mesenchymal;1
MSC_wk0_2;0;Mesenchymal;2
MSC_wk0_3;0;Mesenchymal;3
pLV_wk0_1;0;pLV;1
pLV_wk0_2;0;pLV;2
pLV_wk0_3;0;pLV;3
fl_wk0_1;0;Full;1
fl_wk0_2;0;Full;2
fl_wk0_3;0;Full;3
tr_wk0_1;0;Truncated;1
tr_wk0_2;0;Truncated;2
tr_wk0_3;0;Truncated;3
mut_wk0_1;0;Mutated;1
mut_wk0_2;0;Mutated;2
mut_wk0_3;0;Mutated;3
MSC_wk1_1;1;Mesenchymal;1
MSC_wk1_2;1;Mesenchymal;2
MSC_wk1_3;1;Mesenchymal;3
pLV_wk1_1;1;pLV;1
pLV_wk1_2;1;pLV;2
pLV_wk1_3;1;pLV;3
fl_wk1_1;1;Full;1
fl_wk1_2;1;Full;2
fl_wk1_3;1;Full;3
tr_wk1_1;1;Truncated;1
tr_wk1_2;1;Truncated;2
tr_wk1_3;1;Truncated;3
mut_wk1_1;1;Mutated;1
mut_wk1_2;1;Mutated;2
mut_wk1_3;1;Mutated;3
MSC_wk2_1;2;Mesenchymal;1
MSC_wk2_2;2;Mesenchymal;2
MSC_wk2_3;2;Mesenchymal;3
pLV_wk2_1;2;pLV;1
pLV_wk2_2;2;pLV;2
pLV_wk2_3;2;pLV;3
fl_wk2_1;2;Full;1
fl_wk2_2;2;Full;2
fl_wk2_3;2;Full;3
tr_wk2_1;2;Truncated;1
tr_wk2_2;2;Truncated;2
tr_wk2_3;2;Truncated;3
mut_wk2_1;2;Mutated;1
mut_wk2_2;2;Mutated;2
mut_wk2_3;2;Mutated;3
MSC_wk3_1;3;Mesenchymal;1
MSC_wk3_2;3;Mesenchymal;2
MSC_wk3_3;3;Mesenchymal;3
pLV_wk3_1;3;pLV;1
pLV_wk3_2;3;pLV;2
pLV_wk3_3;3;pLV;3
fl_wk3_1;3;Full;1
fl_wk3_2;3;Full;2
fl_wk3_3;3;Full;3
tr_wk3_1;3;Truncated;1
tr_wk3_2;3;Truncated;2
tr_wk3_3;3;Truncated;3
mut_wk3_1;3;Mutated;1
mut_wk3_2;3;Mutated;2
mut_wk3_3;3;Mutated;3
